headline,short_description,authors,date
REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,They follow in the footsteps of REI workers in New York City who formed a union earlier this year.,Dave Jamieson,2022-08-25
Crypto Crash Leaves Trading Platform Coinbase Slumped,Cryptocurrency trading platform Coinbase has lost half its value in the past week.,"Matt Ott, AP",2022-05-12
Elon Musk Offers To Buy 100% Of Twitter,"“My offer is my best and final offer and if it is not accepted, I would need to reconsider my position as a shareholder,” Musk said in a filing.",Marita Vlachou,2022-04-14
3 More Starbucks Stores Vote To Unionize In Another Victory For Labor Campaign,That makes six union Starbucks stores with more than a hundred others seeking elections.,Dave Jamieson,2022-03-09
Another Starbucks Store Votes To Unionize,The store in Arizona joins two in New York as the only corporate Starbucks stores with a union.,Dave Jamieson,2022-02-25
Holiday Sales Rise Despite Supply Issues And Omicron,"After omicron hit, some consumers stayed home and shifted their spending to e-commerce -- but sales stayed strong.","Paul Wiseman and Anne D'Innocenzio, AP",2021-12-26
Flight Attendants At American Airlines Subsidiary Threaten To Strike,Workers at Piedmont Airlines say their wages are too low to live on. Now they might join other striking workers.,Dave Jamieson,2021-10-21
GameStop Soars Again; Wall Street Bends Under The Pressure,"The video game retailer shot up nearly 70%, clawing back much of its steep loss from the day before.","Stan Choe, Damian J. Troise, and Alex Veiga, AP",2021-01-30
Child Labor In Palm Oil Industry Tied To Girl Scout Cookies,"“I am dreaming one day I can go back to school,"" said a 10-year-old Indonesian girl who works at a palm oil plantation that helps produce the cookies and other Western brand items.","ROBIN McDOWELL and MARGIE MASON, AP",2020-12-29
White Workers Are Getting Hired Back Twice As Fast As Black Workers,Nearly all the improvement in the unemployment rate over the past few months has been for white workers.,Emily Peck,2020-09-15
The Election Could Ultimately Decide The Dakota Access Pipeline’s Fate,The controversial oil route once again fended off an order to shut down -- for now.,Alexander C. Kaufman,2020-08-05
Trader Joe's Says It's Rebranding Some Products After Petition Calls Them Racist,"The brand claims it decided to repackage products labeled ""Trader Ming's,"" ""Trader Giotto's,"" ""Arabian Joe,"" and more ""several years ago,"" not because of the petition.",Jenna Amatulli,2020-07-20
Lululemon Apologizes For Art Director's Post About Racist 'Bat Fried Rice' T-Shirt,"The athletic apparel brand said the offensive shirt wasn't its product and the executive who promoted it on Instagram is ""no longer an employee.""",Jenna Amatulli,2020-04-22
Four Seasons Offers Free Rooms To NYC Health Care Workers Responding To Coronavirus,"Several other luxury hotels stepped up later to offer beds to medical workers in the midst of the pandemic, Gov. Andrew Cuomo said.",Jenna Amatulli,2020-03-26
"Airbnb Bans Open-Invite Parties, Unruly Guests After Fatal Halloween Shooting",The company is revamping its guest standards and banning open-invite parties across the app after a shooting at a San Francisco rental left five people dead.,Carla Herreria Russo,2019-12-06
"Payless ShoeSource To Close All Remaining 2,100 Stores",Expect liquidation sales as the stores wind down operations by spring.,,2019-02-16
"U.S. Charges Chinese Tech Giant Huawei, Top Executive",A 13-count indictment was unsealed in New York.,"Michael Balsamo, AP",2019-01-28
"Google Shutters Google+ After Security Flaw Exposed Data Of At Least 500,000 Users",The company had known about the glitch since March but failed to inform the public.,"Arjun Panchadar, Munsif Vengattil and Paresh Dave, Reuters",2018-10-09
Starbucks Announces Plans To Close 150 Underperforming Stores,No word yet on how many workers will lose their jobs when the stores close.,"Uday Sampath Kumar and Alana Wise, Reuters",2018-06-20
Seattle Passes Controversial New Tax On City's Biggest Companies To Combat Housing Crisis,"Following the council vote, Amazon’s vice president, Drew Herdener, said the company has resumed construction planning for its so-called Block 18 project in downtown Seattle.","Gregory Scruggs, Reuters",2018-05-15
How Uber Silences Women After Sexual Assaults,"Just by using the app, you click away your rights. Now some victims are fighting for change.",Emily Peck,2018-05-12
Ex-Volkswagen CEO Charged In U.S. Over Emissions Cheating Scandal,Martin Winterkorn resigned soon after the scandal became public in 2015.,"David Shepardson, Reuters",2018-05-03
The SEC Just Made The Case For Divesting From Fossil Fuel Companies Much Stronger,"The agency's ruling in a little-noticed case last month has knocked the wind out of the push for shareholder activism, a favorite neoliberal tactic to address climate change.",Alexander C. Kaufman,2018-04-17
"In Los Angeles, Bitter Tensions Over Where To House The Homeless Rile Communities","Voters approved a plan for supportive housing, but disputes over where to put it have stalled progress.",Razzan Nakhlawi,2018-04-14
Twitter Has Suspended 1.2 Million Accounts For 'Terrorist Content',The company touts improved in-house tracking tools for steering abusive accounts away from the site.,Mary Papenfuss,2018-04-06
"Saks, Lord & Taylor Hit By Payment Card Data Breach",Toronto-based Hudson’s Bay did not say when the breach had begun or how many payment card numbers were taken.,"Jim Finkle and David Henry, Reuters",2018-04-01
These Stock Photos Show Masculinity Is More Than Biceps And Beer,"Discarding gender stereotypes, new collections feature male nurses and stay-at-home dads, along with guys who wear makeup and jewelry.",Angelina Chapin,2018-03-29
Walmart Partners With Conservative Group To Remove Cosmo From Checkout Lines,"“The real world took another step toward its slow and sure conversion to The Handmaid’s Tale this week,” a Vogue editor responded.",Rebecca Shapiro,2018-03-28
"Elon Musk's Estranged Father Has Child With Stepdaughter, Says It's 'God's Plan'",The young woman was only 4 years old when Errol Musk married her mother.,Jenna Amatulli,2018-03-26
"Toys R Us Founder Charles Lazarus, 94, Dies As His Empire Comes To A Close",Lazarus was 94 years old.,Rebecca Shapiro,2018-03-22
45 U.S. Trade Groups Beg Trump: Don't Impose Tariffs On China,The organizations say such tariffs would be “particularly harmful” to the U.S. economy and consumers.,"Pete Schroeder, Reuters",2018-03-19
iHeartMedia Files For Chapter 11 Bankruptcy Protection,The company has reached an agreement with shareholders of more than $10 billion of its outstanding debt.,"Tom Hals, Reuters",2018-03-15
Facebook Defends Its Use Of Secret Courts To Handle Sexual Harassment Cases,"The tech giant is standing behind its use of forced arbitration, a practice criticized for silencing women.",Emily Peck,2018-03-14
Geek Squad Has Been Turning Customer Data Over To The FBI For More Than A Decade,New documents show the two groups have a deeper working relationship than previously known.,Ryan Grenoble,2018-03-07
"Ride-Hailing Drivers Probably Make Even Less Than They Think, MIT Paper Finds","Uber called the methodology and findings of the working paper ""deeply flawed.""",Ryan Grenoble,2018-03-02
Walmart To Raise Age Requirement To Buy Firearms And Ammunition,"The retail giant said it's making changes to its gun sale policies ""in light of recent events.""",Carla Herreria,2018-02-28
"Facebook Finally Yanks Virtual Reality Shooting Game At CPAC, Apologizes","""Bullet Train"" featured players firing on virtual people in a train station just days after the Parkland high school shootings.",Mary Papenfuss,2018-02-25
Uber Is Still Losing Carloads Of Money,But the ride-hailing pioneer seems to be slowing the bleeding.,Ryan Grenoble,2018-02-14
"Wall Street Turmoil Worsens As Dow Jones Plunges 1,000 Points",The benchmark S&P 500 and the Dow industrials confirmed they were in correction territory.,"Lewis Krauskopf, Reuters",2018-02-08
Asian Markets Take A Tumble After U.S. Stocks Decline,Asian shares fell sharply on Tuesday after Wall Street suffered its biggest decline since 2011.,"Hideyuki Sano, Reuters",2018-02-06
"Dow Plunges Nearly 1,600 Points In Biggest Intraday Point Drop In History",The drop came as investors grappled with rising bond yields and potentially firming inflation.,"Lewis Krauskopf, Reuters",2018-02-05
Trump’s USDA Could Make Hog Workers’ Jobs Even More Dangerous,The government agency proposed a rule that would eliminate line speed maximums at hog plants.,Eleanor Goldberg,2018-02-01
